Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Abadia dos Dourados,3100104,abadiense,CIRO LUIZ DA SILVA JUNIOR,880.461,6272,7.12,6365,98.28,0.689,-,54056251.12,47058562.8,25174.26,
Abaet&eacute;,3100203,abaetense,IVANIR DELADIER DA COSTA,1817.067,22675,12.48,23161,99.09,0.698,4.48,171110172.9,164326914.45,23266.1,
Abre Campo,3100302,abre-campense,MARCIO PESSOA MOREIRA VICTOR,470.551,13927,29.60,14312,96.21,0.654,12.2,79952087.52,66949825.34,19553.86,
Acaiaca,3100401,acaiaquense,LUIZ ALBERTO PEREIRA,101.886,3909,38.37,3997,99.3,0.630,20,34605138.82,28148613.95,16247.06,
A&ccedil;ucena,3100500,a&ccedil;ucenense,RAULISSON MORAIS,815.422,8943,10.97,8995,98.92,0.610,23.53,48102705.27,42314545.76,17888.2,
&Aacute;gua Boa,3100609,&aacute;gua-boense,ORLANDO CARDOSO PEREIRA,1320.344,12589,9.53,12545,95.9,0.576,14.18,78270812.01,73654670.62,14421.07,
&Aacute;gua Comprida,3100708,&aacute;gua-compridense,GUSTAVO DE ALMEIDA GON&Ccedil;ALVES,492.167,2108,4.28,2165,100,0.675,-,40914973.28,37046615.99,115725.51,
Aguanil,3100807,aguanilense,RICARDO DE OLIVEIRA,232.091,4357,18.77,4490,100,0.663,-,46138791.87,36531077.57,20762.54,
&Aacute;guas Formosas,3100906,&aacute;guas-formosense,CARLOS SOUZA,820.079,18448,22.50,18841,98.78,0.645,-,102014269.3,93128253.95,14913.12,
&Aacute;guas Vermelhas,3101003,&aacute;guas-vermelhense,NILSON FRANCISCO CAMPOS,1256.607,14037,11.17,14486,99.81,0.601,19.74,80668792.63,75527062.4,17329.28,
Aimor&eacute;s,3101102,aimorense,ADRIANO GARCIA,1348.913,25269,18.73,26165,97.93,0.684,9.52,128304067.38,129716285.3,25402.54,
Aiuruoca,3101201,aiuruocano,ERLISSON VITOR LOPES,649.680,6233,9.59,6382,95.88,0.668,-,45581389.67,40086036.58,21608.49,
Alagoa,3101300,alagoense,SEBASTI&Atilde;O MENDES PINTO NETO,161.356,2749,17.04,2816,100,0.649,35.71,35688909.15,36532988.33,17958.99,
Albertina,3101409,albertinense,FELIPE TEODORO SANCHES,58.010,2952,50.89,3023,98.76,0.673,-,42423792.91,36913245.24,51065.05,
Al&eacute;m Para&iacute;ba,3101508,al&eacute;m-paraibano,PAULO HENRIQUE MARINHO GOLDSTEIN,510.250,30717,60.20,31333,98.92,0.726,16.53,171904347.43,159669441.33,27422.83,
Alfenas,3101607,alfenense,FABIO MARQUES FLORENCIO,850.446,78970,92.86,81950,97.23,0.761,6.72,558297532.37,573714655.19,43049.74,
Alfredo Vasconcelos,3101631,vasconcelense,AMAR&Iacute;LIO ANT&Ocirc;NIO FERREIRA,130.815,6931,52.98,7184,99.53,0.675,-,48961263.93,45694490.3,21364.59,
Almenara,3101706,almenarense,EDUARDO OLIVEIRA BRASILEIRO,2294.426,40364,17.59,41894,98.34,0.642,15.15,210886904.01,197177968.27,15924.96,
Alpercata,3101805,alpercatense,RAFAEL AUGUSTO FRAN&Ccedil;A OLIVEIRA MACHADO,166.972,6903,41.34,7029,100,0.646,12.99,45137681.44,47677612.75,12700.99,
Alpin&oacute;polis,3101904,alpinopolense,RAFAEL HENRIQUE DA SILVA FREIRE,460.685,18300,39.72,18672,99.39,0.725,21.19,101762814.56,87685763.24,26133.79,
Alterosa,3102001,alterosense,MARCELO NUNES DE SOUZA,362.010,13915,38.44,14253,98.43,0.668,20.27,76980637.52,70682868.14,20357.31,
Alto Capara&oacute;,3102050,alto caparoense,SEBASTI&Atilde;O ANANIAS CAMPOS,103.690,5795,55.89,5982,98.33,0.661,12.05,42178818.71,40873170.17,16354.23,
Alto Rio Doce,3102100,alto-rio-docense,VICTOR DE PAIVA LOPES,518.053,10891,21.02,10994,99.07,0.620,-,59922005.16,51975124.15,16798.64,
Alvarenga,3102209,alvarenguense,GERALDO FELICIO JUNIOR,278.175,3975,14.29,4012,100,0.592,-,36585851.31,31485232.47,14445.67,
Alvin&oacute;polis,3102308,alvinopolense,LINDOURO MODESTO GOMES,599.443,15059,25.12,15360,97.97,0.676,-,79981472.64,82745353.6,22478.72,
Alvorada de Minas,3102407,alvoradense,DANILIO CLESSIO FERREIRA,374.008,4159,11.12,4322,98.77,0.572,-,127001583.97,120996054.5,17990.28,
Amparo do Serra,3102506,serrense,JOS&Eacute; EDUARDO BARBOSA COUTO,136.186,4541,33.34,4595,98.09,0.641,23.81,36199874.31,29641298.74,12045.13,
Andradas,3102605,andradense,MARGOT NAVARRO GRAZIANI PIOLI,469.396,40553,86.39,42282,99.45,0.734,4.3,222905075.48,202354053.05,28386.06,
Cachoeira de Paje&uacute;,3102704,cachoeirense,GERALDO DUARTE DE SOUSA,695.672,9110,13.10,9333,99.68,0.578,14.71,44640314.88,43082990.88,13262.75,
Andrel&acirc;ndia,3102803,andrelandense,FRANCISCO REGINALDO NOGUEIRA,1005.285,11927,11.86,12169,99.03,0.700,17.86,78585678.17,74849699.47,23950.85,
Angel&acirc;ndia,3102852,angelandense,CL&Aacute;UDIO ROBERTO GOMES,185.211,7718,41.67,7860,99.48,0.597,28.85,48259373.73,45519340.18,16818.81,
Ant&ocirc;nio Carlos,3102902,ant&ocirc;nio-carlense,MARCELO RIBEIRO DA SILVA,529.915,11095,20.94,11345,100,0.683,10.1,58787786.75,53580498.03,21088.32,
Ant&ocirc;nio Dias,3103009,ant&ocirc;nio-diense,ELCIO DE ALMEIDA ATAIDE,787.061,9219,11.71,9388,99.63,0.645,12.99,104497819.9,99717744.94,96894.13,
Ant&ocirc;nio Prado de Minas,3103108,pradense-de-minas,FERDINANDO CALIAN PEREIRA,83.802,1538,18.35,1558,100,0.684,-,25622277.27,24469837.39,18117.22,
Ara&ccedil;a&iacute;,3103207,ara&ccedil;aiense,MARCIO GONZAGA DIAS DE OLIVEIRA,187.530,2181,11.63,2224,100,0.695,55.56,33168883.45,30885076.57,25422.8,
Aracitaba,3103306,aracitabense,TEREZINHA MARC&Iacute;LIA DO AMARAL TOLEDO,106.608,2049,19.22,2095,97.06,0.661,52.63,30547699.2,26042337.41,15253.67,
Ara&ccedil;ua&iacute;,3103405,ara&ccedil;uaiense,TADEU BARBOSA DE OLIVEIRA,2236.279,34297,15.34,35250,99.77,0.663,2.69,181105762.78,175397151.55,14163.67,
Araguari,3103504,araguarino,RENATO CARVALHO FERNANDES,2729.777,117808,43.16,122874,97.29,0.773,10.23,827921368.3,834716390.01,49322.18,
Arantina,3103603,arantinense,EDIMAR LUIS DE OLIVEIRA,89.420,2915,32.60,2991,99.21,0.697,93.75,38402679.06,30580498.19,31861.03,
Araponga,3103702,araponguense,CARLOS ASSUNCAO GOMES,303.793,8048,26.49,8218,97.55,0.536,9.52,51581748.73,46285127.93,14443.79,
Arapor&atilde;,3103751,araporense,WILSON ROBERTO RIBEIRO,294.354,8479,28.81,8935,99.8,0.708,13.42,108278751.7,105184083.73,185156.76,
Arapu&aacute;,3103801,arapuaense,EM&Iacute;LIO DOS SANTOS BOAVENTURA GONDIN,173.894,2631,15.13,2674,96.85,0.724,-,35288581.87,32518744.14,60936.37,
Ara&uacute;jos,3103900,araujense,GERALDO MAGELA DA SILVA,245.522,9199,37.47,9556,97.88,0.698,18.69,54593562.36,49038093.14,49809.64,
Arax&aacute;,3104007,araxaense,RUBENS MAGELA DA SILVA,1164.062,111691,95.95,117677,99.62,0.772,5.43,831812552.32,798627387.33,82570.25,
Arceburgo,3104106,arceburguense,MARGARETH OLIVEIRA ANACLETO,162.875,9177,56.34,9348,99.49,0.683,28.17,69143215.4,61822941.74,31547.24,
Arcos,3104205,arcoense,WELLINGTON FRANCELLI ESTEV&Atilde;O RODRIGUES ROQUE,509.873,41416,81.23,43348,99.95,0.749,13.7,236089448.99,229511553.26,57713.61,
Areado,3104304,areadense,DOUGLAS AVILA MOREIRA,283.124,13881,49.03,14212,99.1,0.727,16.26,81656817.97,69022916.42,20234.71,
Argirita,3104403,argiritense,VICTOR MIRANDA CORTACIO SIMAS,159.378,2688,16.87,2725,100,0.643,-,35541075.15,34123927.92,14954.09,
Aricanduva,3104452,aricanduvense ou aricanduvano,VALDEIR SANTOS COIMBRA,243.329,4719,19.39,4820,99.53,0.582,-,41375251.59,40815036.23,12645.43,
Arinos,3104502,arinense,MARCILIO ALISSON FONSECA DE ALMEIDA,5279.419,17272,3.27,17598,99.23,0.656,11.95,139157257.9,129270037.86,17849.84,
Astolfo Dutra,3104601,astolfo-dutrense,WESLEY CORDEIRO DE SOUZA,158.891,14138,88.98,14565,99.64,0.694,8.77,73506299.86,68390795.74,20339.56,
Atal&eacute;ia,3104700,ataleiense,GILSON BOTELHO BASTOS,1836.925,13736,7.48,13967,99.04,0.588,35.4,73994497.92,73784347.58,15926.39,
Augusto de Lima,3104809,augusto-limense,FABIANO HENRIQUE DOS PASSOS,1254.832,4538,3.62,4593,100,0.656,-,46713111.71,42208132.28,18423.57,
Baependi,3104908,baependiano,MARCELO FARIA PEREIRA,750.554,18366,24.47,18768,100,0.681,-,120308158.99,121826804.65,19795.44,
Baldim,3105004,baldinense,FABRICIO ANDRADE MAGALH&Atilde;ES,556.266,7492,13.47,7614,100,0.671,-,42216864.81,37116293.36,25871.06,
Bambu&iacute;,3105103,bambuiense,FIRMINO GERALDO DE OLIVEIRA J&Uacute;NIOR,1455.819,23546,16.17,24144,96.81,0.741,9.13,131739110.73,133461190.11,32549.38,
Bandeira,3105202,bandeirense,SIDNEI ALVES DOS SANTOS,483.789,4741,9.80,4821,99.46,0.599,-,40837439.66,35156087.07,12476.94,
Bandeira do Sul,3105301,bandeirante-do-sul,JOS&Eacute; DOS SANTOS,47.266,5943,125.74,6146,100,0.692,18.87,1582348.32,35296025.15,14907.61,
Bar&atilde;o de Cocais,3105400,cocaiense,GERALDO ABADE DAS DORES,340.140,30778,90.49,32095,98.57,0.722,12.29,334469880.13,315934802.49,73393.52,
Bar&atilde;o do Monte Alto,3105509,monte-altense,SELMAR LUIS DO VALLE,198.313,4964,25.03,4991,100,0.649,-,38328009.22,36185167.6,11883.74,
Barbacena,3105608,barbacenense,CARLOS AUGUSTO SOARES DO NASCIMENTO,759.186,125317,165.07,129630,97.1,0.769,10.44,712995176.17,736102067.1,25335.18,
Barra Longa,3105707,barra-longuense,ELSON APARECIDO DE OLIVEIRA,383.628,5666,14.77,5740,97.85,0.624,-,48232655.54,58311266.28,16702.85,
Barroso,3105905,barrosense,ANDERSON GERALDO DE PAULA,82.070,20080,244.67,20566,96.93,0.734,4.57,117636362.53,107634111.84,29022.49,
Bela Vista de Minas,3106002,bela-vistano,SAMANTHA APARECIDA DE AVILA COSTA MAGALHAES,109.250,10167,93.15,10412,99.52,0.674,23.81,82256747.19,96090547.39,55337.41,
Belmiro Braga,3106101,belmirense,JOS&Eacute; PAULO DE OLIVEIRA FRANCO,393.086,3244,8.25,3299,98.32,0.660,-,45980340.06,43509357.15,17992.57,
